Commodity_Desc,Attribute_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Export estimates","1,000 bushels","2005/06","Feb",69550.5646337761
"White","Export estimates","1,000 bushels","2005/06","Feb",13846.9786030284
"Durum","Export estimates","1,000 bushels","2005/06","Feb",1928.26800541351
"Hard red winter","Export estimates","1,000 bushels","2005/06","Jan",39005.2741453388
"All wheat","Export estimates","1,000 bushels","2005/06","Jan",85012.6398750573
"Soft red winter","Export estimates","1,000 bushels","2005/06","Jan",5391.30180791382
"Hard red spring","Export estimates","1,000 bushels","2005/06","Jan",21224.7351240715
"White","Export estimates","1,000 bushels","2005/06","Jan",16897.2852928978
"Durum","Export estimates","1,000 bushels","2005/06","Jan",2494.04350483533
"Soft red winter","Export estimates","1,000 bushels","2005/06","Jul",7971.67802168417
"Hard red spring","Export estimates","1,000 bushels","2005/06","Jul",26571.1374588428
"Durum","Export estimates","1,000 bushels","2005/06","Jul",4858.70107734193
"White","Export estimates","1,000 bushels","2005/06","Jul",11305.8399318943
"All wheat","Export estimates","1,000 bushels","2005/06","Jul",91874.7138666369
"Hard red winter","Export estimates","1,000 bushels","2005/06","Jul",41167.3573768737
"Soft red winter","Export estimates","1,000 bushels","2005/06","Jun",5757.1778040179
"Hard red spring","Export estimates","1,000 bushels","2005/06","Jun",19189.7819241374
"Durum","Export estimates","1,000 bushels","2005/06","Jun",3210.26691118714
"White","Export estimates","1,000 bushels","2005/06","Jun",8165.12289315086
"All wheat","Export estimates","1,000 bushels","2005/06","Jun",66053.5799579461
"Hard red winter","Export estimates","1,000 bushels","2005/06","Jun",29731.2304254528
"Hard red winter","Export estimates","1,000 bushels","2005/06","Mar",29504.1364722596
"All wheat","Export estimates","1,000 bushels","2005/06","Mar",74955.8322262816
"Soft red winter","Export estimates","1,000 bushels","2005/06","Mar",6618.21317414896
"Hard red spring","Export estimates","1,000 bushels","2005/06","Mar",20792.5607191087
"White","Export estimates","1,000 bushels","2005/06","Mar",15181.1860281731
"Durum","Export estimates","1,000 bushels","2005/06","Mar",2859.73583259114
"Soft red winter","Export estimates","1,000 bushels","2005/06","May",6312.40457860392
"Hard red spring","Export estimates","1,000 bushels","2005/06","May",19831.7962916146
"Durum","Export estimates","1,000 bushels","2005/06","May",5970.6787419992
"Hard red winter","Export estimates","1,000 bushels","2005/06","May",28140.8351853513
"White","Export estimates","1,000 bushels","2005/06","May",14479.7070857725
"All wheat","Export estimates","1,000 bushels","2005/06","May",74735.4218833415
"Hard red winter","Export estimates","1,000 bushels","2005/06","MY Jun-May",427707.751223892
"White","Export estimates","1,000 bushels","2005/06","MY Jun-May",173512.898449008
"All wheat","Export estimates","1,000 bushels","2005/06","MY Jun-May",1002781.13401609
"Soft red winter","Export estimates","1,000 bushels","2005/06","MY Jun-May",76097.6109295961
"Hard red spring","Export estimates","1,000 bushels","2005/06","MY Jun-May",280152.156508736
"Durum","Export estimates","1,000 bushels","2005/06","MY Jun-May",45310.7169048578
"All wheat","Export estimates","1,000 bushels","2005/06","Nov",81183.1703449393
"Hard red winter","Export estimates","1,000 bushels","2005/06","Nov",33626.5753411055
"Soft red winter","Export estimates","1,000 bushels","2005/06","Nov",5680.66207880933
"Hard red spring","Export estimates","1,000 bushels","2005/06","Nov",24719.5986279948
"Durum","Export estimates","1,000 bushels","2005/06","Nov",2947.23106242037
"White","Export estimates","1,000 bushels","2005/06","Nov",14209.1032346093
"Soft red winter","Export estimates","1,000 bushels","2005/06","Oct",7143.6362717303
"Hard red spring","Export estimates","1,000 bushels","2005/06","Oct",31085.7817155304
"Durum","Export estimates","1,000 bushels","2005/06","Oct",2841.10055516335
"White","Export estimates","1,000 bushels","2005/06","Oct",17868.4568536756
"All wheat","Export estimates","1,000 bushels","2005/06","Oct",101225.599731118
"Hard red winter","Export estimates","1,000 bushels","2005/06","Oct",42286.6243350181
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",109395.59558681
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",21183.4453454211
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",70608.5013210495
"Durum","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",13161.8717465189
"White","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",30043.4414974984
"All wheat","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",244392.855497298
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",119472.518868213
"All wheat","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",286258.912833376
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",20182.9356843502
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",87826.74665914
"Durum","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",8292.91013201908
"White","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",50483.8014896535
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",114657.547635269
"All wheat","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",252079.586986629
"White","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",49670.2391106943
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",62390.9492205176
"Durum","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",9512.90590498986
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",15847.9451151573
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",84182.0891335997
"All wheat","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",220049.778698788
"White","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",43315.4163511621
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",18883.2847846675
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",59325.9593080287
"Durum","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",14343.02912133
"Soft red winter","Export estimates","1,000 bushels","2005/06","Sep",7358.6373338106
"Hard red spring","Export estimates","1,000 bushels","2005/06","Sep",32021.3663156148
"Durum","Export estimates","1,000 bushels","2005/06","Sep",2504.57851443536
"Hard red winter","Export estimates","1,000 bushels","2005/06","Sep",43559.3191920894
"White","Export estimates","1,000 bushels","2005/06","Sep",18406.2414013686
"All wheat","Export estimates","1,000 bushels","2005/06","Sep",103850.142757319
"Soft red winter","Export estimates","1,000 bushels","2006/07","Apr",14314.1836059217
"White","Export estimates","1,000 bushels","2006/07","Apr",16755.219212258
"Durum","Export estimates","1,000 bushels","2006/07","Apr",2047.18304585094
"All wheat","Export estimates","1,000 bushels","2006/07","Apr",78880.3671705629
"Hard red winter","Export estimates","1,000 bushels","2006/07","Apr",26089.9771207875
"Hard red spring","Export estimates","1,000 bushels","2006/07","Apr",19673.8041857449
"Hard red winter","Export estimates","1,000 bushels","2006/07","Aug",21307.8767698758
"All wheat","Export estimates","1,000 bushels","2006/07","Aug",80025.1554161377
"White","Export estimates","1,000 bushels","2006/07","Aug",15985.5466059541
"Soft red winter","Export estimates","1,000 bushels","2006/07","Aug",13050.40595567
"Durum","Export estimates","1,000 bushels","2006/07","Aug",6366.11437393923
"Hard red spring","Export estimates","1,000 bushels","2006/07","Aug",23315.2117106985
"Soft red winter","Export estimates","1,000 bushels","2006/07","Dec",8365.67028313575
"Hard red winter","Export estimates","1,000 bushels","2006/07","Dec",27416.4958968
"All wheat","Export estimates","1,000 bushels","2006/07","Dec",73990.7720792873
"White","Export estimates","1,000 bushels","2006/07","Dec",17288.3822508816
"Durum","Export estimates","1,000 bushels","2006/07","Dec",4257.37181391284
"Hard red spring","Export estimates","1,000 bushels","2006/07","Dec",16662.8518345572
"Hard red spring","Export estimates","1,000 bushels","2006/07","Feb",18272.6046627092
"Soft red winter","Export estimates","1,000 bushels","2006/07","Feb",9173.85495232525
"Durum","Export estimates","1,000 bushels","2006/07","Feb",1873.15605780701
"White","Export estimates","1,000 bushels","2006/07","Feb",18958.5658724399
"All wheat","Export estimates","1,000 bushels","2006/07","Feb",78343.310596003
"Hard red winter","Export estimates","1,000 bushels","2006/07","Feb",30065.1290507217
"White","Export estimates","1,000 bushels","2006/07","Jan",20694.5663517587
"Durum","Export estimates","1,000 bushels","2006/07","Jan",2684.41308972029
"Hard red spring","Export estimates","1,000 bushels","2006/07","Jan",19945.7929548141
"Soft red winter","Export estimates","1,000 bushels","2006/07","Jan",10013.8877217653
"All wheat","Export estimates","1,000 bushels","2006/07","Jan",86156.7969012219
"Hard red winter","Export estimates","1,000 bushels","2006/07","Jan",32818.1367831635
"White","Export estimates","1,000 bushels","2006/07","Jul",14457.1021053752
"Durum","Export estimates","1,000 bushels","2006/07","Jul",2690.40900640689
"Hard red spring","Export estimates","1,000 bushels","2006/07","Jul",21085.9474886182
"Soft red winter","Export estimates","1,000 bushels","2006/07","Jul",11802.6024425992
"Hard red winter","Export estimates","1,000 bushels","2006/07","Jul",19270.5421781515
"All wheat","Export estimates","1,000 bushels","2006/07","Jul",69306.603221151
"Hard red spring","Export estimates","1,000 bushels","2006/07","Jun",19632.0475236293
"Soft red winter","Export estimates","1,000 bushels","2006/07","Jun",10988.7996344809
"All wheat","Export estimates","1,000 bushels","2006/07","Jun",64618.9632620416
"White","Export estimates","1,000 bushels","2006/07","Jun",13460.2685385558
"Durum","Export estimates","1,000 bushels","2006/07","Jun",2596.03109960918
"Hard red winter","Export estimates","1,000 bushels","2006/07","Jun",17941.8164657663
"All wheat","Export estimates","1,000 bushels","2006/07","Mar",79774.9113653195
"Hard red winter","Export estimates","1,000 bushels","2006/07","Mar",24155.4172582491
"Durum","Export estimates","1,000 bushels","2006/07","Mar",3327.02152546869
"White","Export estimates","1,000 bushels","2006/07","Mar",12056.8566105918
"Hard red spring","Export estimates","1,000 bushels","2006/07","Mar",20201.2160596361
"Soft red winter","Export estimates","1,000 bushels","2006/07","Mar",20034.3999113738
"Soft red winter","Export estimates","1,000 bushels","2006/07","May",15329.6623946414
"Durum","Export estimates","1,000 bushels","2006/07","May",2047.99058952945
"Hard red spring","Export estimates","1,000 bushels","2006/07","May",27455.2699877928
"Hard red winter","Export estimates","1,000 bushels","2006/07","May",30767.86467296
"All wheat","Export estimates","1,000 bushels","2006/07","May",92339.340294355
"White","Export estimates","1,000 bushels","2006/07","May",16738.5526494314
"Hard red winter","Export estimates","1,000 bushels","2006/07","MY Jun-May",283836.447316579
"All wheat","Export estimates","1,000 bushels","2006/07","MY Jun-May",915721.353589865
"White","Export estimates","1,000 bushels","2006/07","MY Jun-May",197704.200719616
"Soft red winter","Export estimates","1,000 bushels","2006/07","MY Jun-May",146431.433543466
"Durum","Export estimates","1,000 bushels","2006/07","MY Jun-May",38747.1972788342
"Hard red spring","Export estimates","1,000 bushels","2006/07","MY Jun-May",249002.07473137
"Hard red winter","Export estimates","1,000 bushels","2006/07","Nov",16156.9010274322
"All wheat","Export estimates","1,000 bushels","2006/07","Nov",62373.8414713859
"White","Export estimates","1,000 bushels","2006/07","Nov",15350.8836797967
"Durum","Export estimates","1,000 bushels","2006/07","Nov",2109.88003167919
"Hard red spring","Export estimates","1,000 bushels","2006/07","Nov",18776.0004813134
"Soft red winter","Export estimates","1,000 bushels","2006/07","Nov",9980.17625116441
"Hard red spring","Export estimates","1,000 bushels","2006/07","Oct",20965.5615750911
"Soft red winter","Export estimates","1,000 bushels","2006/07","Oct",11144.0133340587
"All wheat","Export estimates","1,000 bushels","2006/07","Oct",72313.636110169
"White","Export estimates","1,000 bushels","2006/07","Oct",17141.0251795182
"Durum","Export estimates","1,000 bushels","2006/07","Oct",5021.9998758955
"Hard red winter","Export estimates","1,000 bushels","2006/07","Oct",18041.0361456055
"Hard red winter","Export estimates","1,000 bushels","2006/07","Q1 Jun-Aug",58520.2354137936
"Soft red winter","Export estimates","1,000 bushels","2006/07","Q1 Jun-Aug",35841.8080327502
"All wheat","Export estimates","1,000 bushels","2006/07","Q1 Jun-Aug",213950.72189933
"White","Export estimates","1,000 bushels","2006/07","Q1 Jun-Aug",43902.9172498851
"Durum","Export estimates","1,000 bushels","2006/07","Q1 Jun-Aug",11652.5544799553
"Hard red spring","Export estimates","1,000 bushels","2006/07","Q1 Jun-Aug",64033.2067229461
"Hard red winter","Export estimates","1,000 bushels","2006/07","Q2 Sep-Nov",54003.1911201034
"All wheat","Export estimates","1,000 bushels","2006/07","Q2 Sep-Nov",212285.133283785
"White","Export estimates","1,000 bushels","2006/07","Q2 Sep-Nov",51309.1405223698
"Hard red spring","Export estimates","1,000 bushels","2006/07","Q2 Sep-Nov",62757.32832317
"Soft red winter","Export estimates","1,000 bushels","2006/07","Q2 Sep-Nov",33357.9666415526
"Durum","Export estimates","1,000 bushels","2006/07","Q2 Sep-Nov",10857.5066765897
"All wheat","Export estimates","1,000 bushels","2006/07","Q3 Dec-Feb",238490.879576512
"Hard red winter","Export estimates","1,000 bushels","2006/07","Q3 Dec-Feb",90299.7617306851
"Hard red spring","Export estimates","1,000 bushels","2006/07","Q3 Dec-Feb",54881.2494520805
"White","Export estimates","1,000 bushels","2006/07","Q3 Dec-Feb",56941.5144750801
"Durum","Export estimates","1,000 bushels","2006/07","Q3 Dec-Feb",8814.94096144014
"Soft red winter","Export estimates","1,000 bushels","2006/07","Q3 Dec-Feb",27553.4129572263
"Hard red winter","Export estimates","1,000 bushels","2006/07","Q4 Mar-May",81013.2590519966
"All wheat","Export estimates","1,000 bushels","2006/07","Q4 Mar-May",250994.618830237
"White","Export estimates","1,000 bushels","2006/07","Q4 Mar-May",45550.6284722812
"Durum","Export estimates","1,000 bushels","2006/07","Q4 Mar-May",7422.19516084908
"Hard red spring","Export estimates","1,000 bushels","2006/07","Q4 Mar-May",67330.2902331738
"Soft red winter","Export estimates","1,000 bushels","2006/07","Q4 Mar-May",49678.2459119369
"Soft red winter","Export estimates","1,000 bushels","2006/07","Sep",12233.7770563295
"Durum","Export estimates","1,000 bushels","2006/07","Sep",3725.626769015
"Hard red spring","Export estimates","1,000 bushels","2006/07","Sep",23015.7662667654
"Hard red winter","Export estimates","1,000 bushels","2006/07","Sep",19805.2539470657
"All wheat","Export estimates","1,000 bushels","2006/07","Sep",77597.6557022304
"White","Export estimates","1,000 bushels","2006/07","Sep",18817.2316630549
"Soft red winter","Export estimates","1,000 bushels","2007/08","Apr",10288.2753918861
"Hard red winter","Export estimates","1,000 bushels","2007/08","Apr",41734.0028475931
"All wheat","Export estimates","1,000 bushels","2007/08","Apr",81038.0649605913
"Durum","Export estimates","1,000 bushels","2007/08","Apr",2375.33788131969
"White","Export estimates","1,000 bushels","2007/08","Apr",10055.1245379889
"Hard red spring","Export estimates","1,000 bushels","2007/08","Apr",16585.3243018036
"White","Export estimates","1,000 bushels","2007/08","Aug",21444.0374574964
"All wheat","Export estimates","1,000 bushels","2007/08","Aug",164202.734744723
"Hard red winter","Export estimates","1,000 bushels","2007/08","Aug",58995.8294854372
"Soft red winter","Export estimates","1,000 bushels","2007/08","Aug",41871.198535126
"Hard red spring","Export estimates","1,000 bushels","2007/08","Aug",31285.1754316487
"Durum","Export estimates","1,000 bushels","2007/08","Aug",10606.4938350149
"Hard red spring","Export estimates","1,000 bushels","2007/08","Dec",24927.0435404845
"Soft red winter","Export estimates","1,000 bushels","2007/08","Dec",7034.32110112015
"White","Export estimates","1,000 bushels","2007/08","Dec",12900.5595116279
"Durum","Export estimates","1,000 bushels","2007/08","Dec",5256.33230046462
"Hard red winter","Export estimates","1,000 bushels","2007/08","Dec",33643.9599459392
"All wheat","Export estimates","1,000 bushels","2007/08","Dec",83762.2163996364
"Soft red winter","Export estimates","1,000 bushels","2007/08","Feb",7422.35216404066
"Hard red spring","Export estimates","1,000 bushels","2007/08","Feb",26302.0827321046
"Hard red winter","Export estimates","1,000 bushels","2007/08","Feb",35499.8464417375
"All wheat","Export estimates","1,000 bushels","2007/08","Feb",85690.056839166
"White","Export estimates","1,000 bushels","2007/08","Feb",13612.1872220503
"Durum","Export estimates","1,000 bushels","2007/08","Feb",2853.5882792329
"Hard red winter","Export estimates","1,000 bushels","2007/08","Jan",37946.461375626
"All wheat","Export estimates","1,000 bushels","2007/08","Jan",91946.9574321542
"Hard red spring","Export estimates","1,000 bushels","2007/08","Jan",28114.7967253989
