Commodity_Desc,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Total wheat grain","Exports, Qty","Spain","1,000 metric tons ","1990/91","MY Jun-May",22.026036
"Total wheat grain","Exports, Qty","Kenya","1,000 metric tons ","1990/91","MY Jun-May",61.946195
"Total wheat grain","Exports, Qty","Guyana","1,000 metric tons ","1990/91","MY Jun-May",47.56935
"Total wheat grain","Exports, Qty","Singapore","1,000 metric tons ","1990/91","MY Jun-May",27.834106
"Total wheat grain","Exports, Qty","Mozambique","1,000 metric tons ","1990/91","MY Jun-May",20.148752
"Total wheat grain","Exports, Qty","Sri Lanka","1,000 metric tons ","1990/91","MY Jun-May",423.37245
"Total wheat grain","Exports, Qty","Morocco","1,000 metric tons ","1990/91","MY Jun-May",588.688949
"Total wheat grain","Exports, Qty","Mauritania","1,000 metric tons ","1990/91","MY Jun-May",22.705119
"Total wheat grain","Exports, Qty","St. Vincent And The Grenadines","1,000 metric tons ","1990/91","MY Jun-May",30.479671
"Total wheat grain","Exports, Qty","Grenada","1,000 metric tons ","1990/91","MY Jun-May",13.488842
"Total wheat grain","Exports, Qty","Barbados","1,000 metric tons ","1990/91","MY Jun-May",23.972946
"Total wheat grain","Exports, Qty","Portugal","1,000 metric tons ","1990/91","MY Jun-May",98.589975
"Total wheat grain","Exports, Qty","Republic Of South Africa","1,000 metric tons ","1990/91","MY Jun-May",100.476222
"Total wheat grain","Exports, Qty","Belize","1,000 metric tons ","1990/91","MY Jun-May",14.525372
"Total wheat grain","Exports, Qty","Belgium","1,000 metric tons ","1990/91","MY Jun-May",122.162774
"Total wheat grain","Exports, Qty","Malta And Gozo","1,000 metric tons ","1990/91","MY Jun-May",36.920871
"Total wheat grain","Exports, Qty","Suriname","1,000 metric tons ","1990/91","MY Jun-May",24.700453
"Total wheat grain","Exports, Qty","Hong Kong","1,000 metric tons ","1990/91","MY Jun-May",131.107766
"Total wheat grain","Exports, Qty","Guadeloupe","1,000 metric tons ","1990/91","MY Jun-May",4.001726
"Total wheat grain","Exports, Qty","Saudi Arabia","1,000 metric tons ","1990/91","MY Jun-May",156.854546
"Total wheat grain","Exports, Qty","Bangladesh","1,000 metric tons ","1990/91","MY Jun-May",515.762251
"Total wheat grain","Exports, Qty","Greece","1,000 metric tons ","1990/91","MY Jun-May",2.419385
"Total wheat grain","Exports, Qty","United Kingdom","1,000 metric tons ","1990/91","MY Jun-May",18.565582
"Total wheat grain","Exports, Qty","Jordan","1,000 metric tons ","1990/91","MY Jun-May",644.043078
"Total wheat grain","Exports, Qty","France","1,000 metric tons ","1990/91","MY Jun-May",1.050801
"Total wheat grain","Exports, Qty","Israel","1,000 metric tons ","1990/91","MY Jun-May",491.365137
"Total wheat grain","Exports, Qty","Netherlands Antilles","1,000 metric tons ","1990/91","MY Jun-May",12.112604
"Total wheat grain","Exports, Qty","Bolivia","1,000 metric tons ","1990/91","MY Jun-May",65.999102
"Total wheat grain","Exports, Qty","Norway","1,000 metric tons ","1990/91","MY Jun-May",48.640964
"Total wheat grain","Exports, Qty","Finland","1,000 metric tons ","1990/91","MY Jun-May",27.019604
"Total wheat grain","Exports, Qty","Netherlands","1,000 metric tons ","1990/91","MY Jun-May",5.133859
"Total wheat grain","Exports, Qty","Germany, Fed. Republic; United, Begins 1","1,000 metric tons ","1990/91","MY Jun-May",0.150414
"Total wheat grain","Exports, Qty","Switzerland","1,000 metric tons ","1990/91","MY Jun-May",2.9553
"Total wheat grain","Exports, Qty","Poland","1,000 metric tons ","1990/91","MY Jun-May",124.704807
"Total wheat grain","Exports, Qty","Former USSR, Begins 1/1989 & Ends 1/1993","1,000 metric tons ","1990/91","MY Jun-May",2770.048214
"Total wheat grain","Exports, Qty","Former Yugoslavia, Ends 5/1992","1,000 metric tons ","1990/91","MY Jun-May",14.7
"Total wheat grain","Exports, Qty","Cyprus","1,000 metric tons ","1990/91","MY Jun-May",25.48281
"Total wheat grain","Exports, Qty","India","1,000 metric tons ","1990/91","MY Jun-May",26.057335
"Total wheat grain","Exports, Qty","Pakistan","1,000 metric tons ","1990/91","MY Jun-May",692.134663
"Total wheat grain","Exports, Qty","Australia (No Islands), (=Old Code 6020)","1,000 metric tons ","1990/91","MY Jun-May",0.4187
"Total wheat grain","Exports, Qty","New Zealand, No Islands (=Old Code 6140)","1,000 metric tons ","1990/91","MY Jun-May",65.87868
"Total wheat grain","Exports, Qty","New Caledonia","1,000 metric tons ","1990/91","MY Jun-May",0.285778
"Total wheat grain","Exports, Qty","French Polynesia","1,000 metric tons ","1990/91","MY Jun-May",0.736889
"Total wheat grain","Exports, Qty","Tunisia","1,000 metric tons ","1990/91","MY Jun-May",485.91766
"Total wheat grain","Exports, Qty","Sudan","1,000 metric tons ","1990/91","MY Jun-May",153.240829
"Total wheat grain","Exports, Qty","Cameroon","1,000 metric tons ","1990/91","MY Jun-May",8.8
"Total wheat grain","Exports, Qty","Senegal","1,000 metric tons ","1990/91","MY Jun-May",13.414194
"Total wheat grain","Exports, Qty","Mali","1,000 metric tons ","1990/91","MY Jun-May",5.998301
"Total wheat grain","Exports, Qty","Sierra Leone","1,000 metric tons ","1990/91","MY Jun-May",7.78155
"Total wheat grain","Exports, Qty","Ivory Coast","1,000 metric tons ","1990/91","MY Jun-May",29.008201
"Total wheat grain","Exports, Qty","Ghana","1,000 metric tons ","1990/91","MY Jun-May",43.827386
"Total wheat grain","Exports, Qty","Niger","1,000 metric tons ","1990/91","MY Jun-May",7.5
"Total wheat grain","Exports, Qty","Togo","1,000 metric tons ","1990/91","MY Jun-May",40.899213
"Total wheat grain","Exports, Qty","Gabon","1,000 metric tons ","1990/91","MY Jun-May",9.7
"Total wheat grain","Exports, Qty","Burkina Faso","1,000 metric tons ","1990/91","MY Jun-May",8.26109
"Total wheat grain","Exports, Qty","Benin","1,000 metric tons ","1990/91","MY Jun-May",74.689385
"Total wheat grain","Exports, Qty","Angola","1,000 metric tons ","1990/91","MY Jun-May",11.549979
"Total wheat grain","Exports, Qty","Congo (Brazzaville)","1,000 metric tons ","1990/91","MY Jun-May",5.000054
"Total wheat grain","Exports, Qty","Liberia","1,000 metric tons ","1990/91","MY Jun-May",1.84609
"Total wheat grain","Exports, Qty","Congo (Kinshasa)","1,000 metric tons ","1990/91","MY Jun-May",146.067994
"Total wheat grain","Exports, Qty","Ethiopia, United Ends 6/1993 & New Begin","1,000 metric tons ","1990/91","MY Jun-May",163.540836
"Total wheat grain","Exports, Qty","Zimbabwe","1,000 metric tons ","1990/91","MY Jun-May",19.95
"Total wheat grain","Exports, Qty","Unidentified Country","1,000 metric tons ","1990/91","MY Jun-May",515.371205
"Total wheat grain","Exports, Qty","World","1,000 metric tons ","1990/91","MY Jun-May",27914.361783
"Total wheat grain","Exports, Qty","Mexico","1,000 metric tons ","1991/92","MY Jun-May",173.100608
"Total wheat grain","Exports, Qty","Philippines","1,000 metric tons ","1991/92","MY Jun-May",1300.789495
"Total wheat grain","Exports, Qty","South Korea","1,000 metric tons ","1991/92","MY Jun-May",1525.99893
"Total wheat grain","Exports, Qty","Japan","1,000 metric tons ","1991/92","MY Jun-May",3172.027094
"Total wheat grain","Exports, Qty","Taiwan","1,000 metric tons ","1991/92","MY Jun-May",812.733973
"Total wheat grain","Exports, Qty","Thailand","1,000 metric tons ","1991/92","MY Jun-May",189.544849
"Total wheat grain","Exports, Qty","Indonesia","1,000 metric tons ","1991/92","MY Jun-May",15.093009
