Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Rye","Rye","Total domestic use","United States","Million bushels","2005/06","MY Jun-May",13.091
"Rye","Rye","Feed and residual use","United States","Million bushels","2005/06","MY Jun-May",4.755
"Rye","Rye","Industrial use","United States","Million bushels","2005/06","MY Jun-May",2.246
"Rye","Rye","Seed use","United States","Million bushels","2005/06","MY Jun-May",2.87
"Rye","Rye","Food use","United States","Million bushels","2005/06","MY Jun-May",3.22
"Rye","Rye","Total supply","United States","Million bushels","2005/06","MY Jun-May",13.811
"Rye","Rye","Imports","United States","Million bushels","2005/06","MY Jun-May",5.481
"Rye","Rye","Production","United States","Million bushels","2005/06","MY Jun-May",7.537
"Rye","Rye","Beginning stocks","United States","Million bushels","2005/06","MY Jun-May",0.793
"Rye","Rye","Beginning stocks","United States","Million bushels","2006/07","MY Jun-May",0.706
"Rye","Rye","Production","United States","Million bushels","2006/07","MY Jun-May",7.193
"Rye","Rye","Imports","United States","Million bushels","2006/07","MY Jun-May",5.899
"Rye","Rye","Total supply","United States","Million bushels","2006/07","MY Jun-May",13.798
"Rye","Rye","Food use","United States","Million bushels","2006/07","MY Jun-May",3.25
"Rye","Rye","Seed use","United States","Million bushels","2006/07","MY Jun-May",2.75
"Rye","Rye","Industrial use","United States","Million bushels","2006/07","MY Jun-May",2.484
"Rye","Rye","Feed and residual use","United States","Million bushels","2006/07","MY Jun-May",4.763
"Rye","Rye","Total domestic use","United States","Million bushels","2006/07","MY Jun-May",13.247
"Rye","Rye","Exports","United States","Million bushels","2006/07","MY Jun-May",0.07
"Rye","Rye","Total disappearance","United States","Million bushels","2006/07","MY Jun-May",13.317
"Rye","Rye","Ending stocks","United States","Million bushels","2006/07","MY Jun-May",0.481
"Rye","Rye","Ending stocks","United States","Million bushels","2007/08","MY Jun-May",0.396
"Rye","Rye","Total disappearance","United States","Million bushels","2007/08","MY Jun-May",13.46
"Rye","Rye","Exports","United States","Million bushels","2007/08","MY Jun-May",0.251
"Rye","Rye","Total domestic use","United States","Million bushels","2007/08","MY Jun-May",13.209
"Rye","Rye","Feed and residual use","United States","Million bushels","2007/08","MY Jun-May",4.91
"Rye","Rye","Industrial use","United States","Million bushels","2007/08","MY Jun-May",2.279
"Rye","Rye","Seed use","United States","Million bushels","2007/08","MY Jun-May",2.74
"Rye","Rye","Food use","United States","Million bushels","2007/08","MY Jun-May",3.28
"Rye","Rye","Total supply","United States","Million bushels","2007/08","MY Jun-May",13.856
"Rye","Rye","Imports","United States","Million bushels","2007/08","MY Jun-May",7.064
"Rye","Rye","Production","United States","Million bushels","2007/08","MY Jun-May",6.311
"Rye","Rye","Beginning stocks","United States","Million bushels","2007/08","MY Jun-May",0.481
"Rye","Rye","Beginning stocks","United States","Million bushels","2008/09","MY Jun-May",0.396
"Rye","Rye","Production","United States","Million bushels","2008/09","MY Jun-May",8.315
"Rye","Rye","Imports","United States","Million bushels","2008/09","MY Jun-May",3.953
"Rye","Rye","Total supply","United States","Million bushels","2008/09","MY Jun-May",12.664
"Rye","Rye","Food use","United States","Million bushels","2008/09","MY Jun-May",3.31
"Rye","Rye","Seed use","United States","Million bushels","2008/09","MY Jun-May",2.58
"Rye","Rye","Industrial use","United States","Million bushels","2008/09","MY Jun-May",1.975
"Rye","Rye","Feed and residual use","United States","Million bushels","2008/09","MY Jun-May",3.974
"Rye","Rye","Total domestic use","United States","Million bushels","2008/09","MY Jun-May",11.839
"Rye","Rye","Exports","United States","Million bushels","2008/09","MY Jun-May",0.316
"Rye","Rye","Total disappearance","United States","Million bushels","2008/09","MY Jun-May",12.155
"Rye","Rye","Ending stocks","United States","Million bushels","2008/09","MY Jun-May",0.509
"Rye","Rye","Ending stocks","United States","Million bushels","2009/10","MY Jun-May",0.932
"Rye","Rye","Total disappearance","United States","Million bushels","2009/10","MY Jun-May",10.619
"Rye","Rye","Exports","United States","Million bushels","2009/10","MY Jun-May",0.073
"Rye","Rye","Total domestic use","United States","Million bushels","2009/10","MY Jun-May",10.546
"Rye","Rye","Feed and residual use","United States","Million bushels","2009/10","MY Jun-May",2.495
"Rye","Rye","Industrial use","United States","Million bushels","2009/10","MY Jun-May",2.161
"Rye","Rye","Seed use","United States","Million bushels","2009/10","MY Jun-May",2.56
"Rye","Rye","Food use","United States","Million bushels","2009/10","MY Jun-May",3.33
"Rye","Rye","Total supply","United States","Million bushels","2009/10","MY Jun-May",11.551
"Rye","Rye","Imports","United States","Million bushels","2009/10","MY Jun-May",4.251
"Rye","Rye","Production","United States","Million bushels","2009/10","MY Jun-May",6.791
"Rye","Rye","Beginning stocks","United States","Million bushels","2009/10","MY Jun-May",0.509
"Rye","Rye","Beginning stocks","United States","Million bushels","2010/11","MY Jun-May",0.932
"Rye","Rye","Production","United States","Million bushels","2010/11","MY Jun-May",7.48
"Rye","Rye","Imports","United States","Million bushels","2010/11","MY Jun-May",5.552
"Rye","Rye","Total supply","United States","Million bushels","2010/11","MY Jun-May",13.964
"Rye","Rye","Food use","United States","Million bushels","2010/11","MY Jun-May",3.35
"Rye","Rye","Seed use","United States","Million bushels","2010/11","MY Jun-May",2.52
"Rye","Rye","Industrial use","United States","Million bushels","2010/11","MY Jun-May",2.176
"Rye","Rye","Feed and residual use","United States","Million bushels","2010/11","MY Jun-May",4.968
"Rye","Rye","Total domestic use","United States","Million bushels","2010/11","MY Jun-May",13.014
"Rye","Rye","Exports","United States","Million bushels","2010/11","MY Jun-May",0.149
"Rye","Rye","Total disappearance","United States","Million bushels","2010/11","MY Jun-May",13.163
"Rye","Rye","Ending stocks","United States","Million bushels","2010/11","MY Jun-May",0.801
"Rye","Rye","Ending stocks","United States","Million bushels","2011/12","MY Jun-May",0.452
"Rye","Rye","Total disappearance","United States","Million bushels","2011/12","MY Jun-May",12.394
"Rye","Rye","Exports","United States","Million bushels","2011/12","MY Jun-May",0.157
"Rye","Rye","Total domestic use","United States","Million bushels","2011/12","MY Jun-May",12.237
"Rye","Rye","Feed and residual use","United States","Million bushels","2011/12","MY Jun-May",3.716
"Rye","Rye","Industrial use","United States","Million bushels","2011/12","MY Jun-May",2.531
"Rye","Rye","Seed use","United States","Million bushels","2011/12","MY Jun-May",2.61
"Rye","Rye","Food use","United States","Million bushels","2011/12","MY Jun-May",3.38
"Rye","Rye","Total supply","United States","Million bushels","2011/12","MY Jun-May",12.846
"Rye","Rye","Imports","United States","Million bushels","2011/12","MY Jun-May",5.994
"Rye","Rye","Production","United States","Million bushels","2011/12","MY Jun-May",6.051
"Rye","Rye","Beginning stocks","United States","Million bushels","2011/12","MY Jun-May",0.801
"Rye","Rye","Beginning stocks","United States","Million bushels","2012/13","MY Jun-May",0.452
"Rye","Rye","Production","United States","Million bushels","2012/13","MY Jun-May",6.542
"Rye","Rye","Imports","United States","Million bushels","2012/13","MY Jun-May",8.966
